"","average_time_between_service","avg_serv_costs","days_to_first_serv","breakdown","machine_size_102","machine_size_62","machine_size_61","machine_size_201","machine_size_202","usage_class"
"1",57,3637.71391304348,434,33,0,0,0,0,0,"2"
"2",54,679.37511568125,141,27,1,0,0,0,0,"5"
"3",41,262.834527201852,110,27,0,1,0,0,0,"3"
"4",50,471.0868402304,5,24,1,0,0,0,0,"6"
"5",51,384.143593625238,49,24,1,0,0,0,0,"6"
"6",43,259.824782608696,31,21,0,0,0,0,0,"3"
"7",70,544.9311317495,19,21,1,0,0,0,0,"5"
"8",42,387.691541921667,36,21,1,0,0,0,0,"6"
"9",64,335.917682309,120,21,0,1,0,0,0,"6"
"10",63,364.129615821053,10,21,0,1,0,0,0,"6"
"11",54,382.910617171,17,20,1,0,0,0,0,"6"
"12",62,525.0901177965,41,20,0,1,0,0,0,"5"
"13",62,402.283669548095,62,20,0,1,0,0,0,"6"
"14",66,299.6870555455,91,20,0,1,0,0,0,"6"
"15",75,284.751848105294,28,19,0,1,0,0,0,"6"
"16",50,404.631007327368,105,19,0,1,0,0,0,"6"
"17",55,361.271777687368,86,19,0,1,0,0,0,"6"
"18",62,477.325923346316,79,18,1,0,0,0,0,"6"
"19",89,247.322422570588,21,18,1,0,0,0,0,"3"
"20",79,554.43823335,28,18,1,0,0,0,0,"5"
"21",60,349.780026606842,6,18,1,0,0,0,0,"6"
"22",54,448.720222774211,4,18,1,0,0,0,0,"6"
"23",54,295.908864785556,124,18,1,0,0,0,0,"6"
"24",51,499.668788027778,96,18,1,0,0,0,0,"5"
"25",77,274.204140999444,5,18,0,1,0,0,0,"6"
"26",76,575.216978612941,13,17,1,0,0,0,0,"5"
"27",69,336.405022940556,110,17,1,0,0,0,0,"6"
"28",83,418.315585628235,28,17,0,1,0,0,0,"6"
"29",71,496.025605545625,42,17,0,1,0,0,0,"6"
"30",66,219.741193131722,1,17,0,1,0,0,0,"3"
"31",46,325.741785660588,167,17,0,1,0,0,0,"6"
"32",79,305.2708061875,70,16,1,0,0,0,0,"6"
"33",63,515.37149952125,56,16,1,0,0,0,0,"5"
"34",53,287.211825590625,6,16,1,0,0,0,0,"6"
"35",49,542.709159952941,31,16,1,0,0,0,0,"5"
"36",75,434.675711445625,75,16,0,1,0,0,0,"6"
"37",80,433.604020575294,202,16,0,1,0,0,0,"6"
"38",62,351.841266968235,33,16,0,1,0,0,0,"6"
"39",64,464.301635100714,9,16,0,1,0,0,0,"6"
"40",96,609.413581800714,81,15,1,0,0,0,0,"5"
