serial_number,sales_organisation,service_call_category,total_service_count,model,energy_type,machine_size,machine_type
1,300 Organisation AG,Breakdown,33,G11SH,Gas,101,Single
2,200 Organisation Deutschland,Breakdown,32,E11SH,Electric,101,Single
3,500 Organisation USA,Breakdown,30,E12SH,Electric,102,Single
4,500 Organisation USA,Breakdown,30,E12SH,Electric,102,Single
5,320 Organisation International,Breakdown,30,E61SG,Electric,61,Single
6,500 Organisation USA,Breakdown,30,E62SH,Electric,62,Single
7,500 Organisation USA,Breakdown,29,88888,NA,NA,NA
8,200 Organisation Deutschland,Breakdown,27,E11SH,Electric,101,Single
9,500 Organisation USA,Breakdown,27,E12SH,Electric,102,Single
10,500 Organisation USA,Breakdown,27,E62SH,Electric,62,Single
11,500 Organisation USA,Breakdown,26,E12SH,Electric,102,Single
12,500 Organisation USA,Breakdown,26,E12SH,Electric,102,Single
13,320 Organisation International,Breakdown,26,E61SG,Electric,61,Single
14,200 Organisation Deutschland,Breakdown,25,1000,NA,NA,NA
15,500 Organisation USA,Breakdown,24,E12SH,Electric,102,Single
16,500 Organisation USA,Breakdown,24,E12SH,Electric,102,Single
17,500 Organisation USA,Breakdown,24,E12SH,Electric,102,Single
18,500 Organisation USA,Breakdown,24,E62SH,Electric,62,Single
19,500 Organisation USA,Breakdown,24,E62SH,Electric,62,Single
20,500 Organisation USA,Breakdown,24,E62SH,Electric,62,Single
21,500 Organisation USA,Breakdown,23,E12SH,Electric,102,Single
22,610 Organisation Polen,Breakdown,23,G21SE,Gas,201,Single
23,500 Organisation USA,Breakdown,22,E12SG,Electric,102,Single
24,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
25,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
26,500 Organisation USA,Breakdown,22,E12SH,Electric,102,Single
27,320 Organisation International,Breakdown,22,E61SG,Electric,61,Single
28,500 Organisation USA,Breakdown,22,E62SG,Electric,62,Single
29,200 Organisation Deutschland,Breakdown,21,E11SH,Electric,101,Single
30,500 Organisation USA,Breakdown,21,E12SG,Electric,102,Single
31,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
32,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
33,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
34,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
35,500 Organisation USA,Breakdown,21,E12SH,Electric,102,Single
36,500 Organisation USA,Breakdown,21,E62SH,Electric,62,Single
37,500 Organisation USA,Breakdown,21,E62SH,Electric,62,Single
38,500 Organisation USA,Breakdown,21,E62SH,Electric,62,Single
39,610 Organisation Polen,Breakdown,21,G22SG,Gas,202,Single
40,200 Organisation Deutschland,Breakdown,20,E11SG,Electric,101,Single
41,500 Organisation USA,Breakdown,20,E12SG,Electric,102,Single
42,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
43,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
44,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
45,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
46,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
47,500 Organisation USA,Breakdown,20,E12SH,Electric,102,Single
48,320 Organisation International,Breakdown,20,E61SG,Electric,61,Single
49,320 Organisation International,Breakdown,20,E61SG,Electric,61,Single
50,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
51,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
52,500 Organisation USA,Breakdown,20,E62SH,Electric,62,Single
