positions_part_number,service_call_category,total_cost_in_euros,total_service_count
1,Breakdown,4457330.301,47143.58
2,Breakdown,1331815.093,12291.02217
3,Breakdown,951463.0437,1200.133478
4,Installation / Commissioning,883569.4996,1241.517391
5,Installation / Commissioning,839936.9831,676.7486957
6,Inspection / Maintenance,722305.6778,847.1530435
7,Breakdown,631314.1247,1750.296087
8,Breakdown,525105.097,2938.257826
9,Breakdown,518257.5792,1998.599565
10,Breakdown,440886.5698,1231.78
11,Breakdown,432532.2296,2595.014783
12,Breakdown,389159.2319,1066.244348
13,Breakdown,385799.2126,2736.206957
14,Breakdown,341268.2764,2042.417826
15,Breakdown,336457.0935,842.2843478
16,Installation / Commissioning,328886.1907,4406.169565
17,Breakdown,316836.9579,3118.399565
18,Breakdown,309313.175,3897.39087
19,Breakdown,304295.0642,2086.236087
20,Breakdown,296985.7638,1066.244348
21,Breakdown,271761.1782,1088.153478
22,Breakdown,268169.4815,1543.376522
23,Installation / Commissioning,267133.3048,1222.042609
24,Breakdown,250964.7316,2760.550435
25,Breakdown,250283.5865,5523.535217
26,Accessories,240908.8266,443.0513043
27,Breakdown,223999.5151,2351.58
28,Inspection / Maintenance,212026.3975,2943.126522
29,Breakdown,207816.598,2407.57
30,Breakdown,204762.8731,20480.16826
31,Inspection / Maintenance,184047.3641,1302.376087
32,Breakdown,182802.4016,143.6265217
33,Installation / Commissioning,168930.4394,559.9
34,Breakdown,161473.6685,939.6582609
35,Breakdown,161411.037,2020.508696
36,Installation / Commissioning,159373.2552,1285.335652
37,Breakdown,145678.5168,294.556087
38,Retrofit,143202.5183,2492.772174
39,Breakdown,131645.1786,367.5865217
40,Breakdown,130845.2415,1531.204783
41,Breakdown,127810.9834,1528.770435
42,Breakdown,127163.9694,408.9704348
43,Breakdown,124949.451,530.6878261
44,Breakdown,115455.8803,136.3234783
45,Installation / Commissioning,115438.3806,404.1017391
46,Breakdown,111312.8496,632.9304348
47,Breakdown,111260.3347,637.7991304
48,Breakdown,105325.2855,718.1326087
49,Breakdown,100728.8888,720.5669565
50,Breakdown,100629.5349,126.586087
51,Breakdown,99319.33177,418.7078261
52,Breakdown,98957.87421,613.4556522
53,Breakdown,94061.12404,834.9813043
54,Breakdown,91636.84122,1243.951739
55,Breakdown,88340.98305,611.0213043
56,Breakdown,84718.98752,747.3447826
57,Breakdown,84136.10289,686.486087
58,Breakdown,79931.84288,180.1417391
59,Breakdown,79206.74037,194.7478261
60,Installation / Commissioning,78041.41186,1166.052609
61,Breakdown,72305.81656,404.1017391
62,Accessories,72011.28099,1282.901304
63,Accessories,70719.17126,182.576087
64,Installation / Commissioning,67470.71795,87.63652174
65,Installation / Commissioning,65956.24325,167.97
66,Breakdown,65288.90708,727.87
67,Breakdown,63914.9403,241.0004348
68,Breakdown,63533.59792,2261.50913
69,Breakdown,61851.77015,4043.451739
70,Inspection / Maintenance,61656.27048,1185.527391
71,Breakdown,61073.96503,837.4156522
72,Breakdown,56572.65799,202.0508696
73,Breakdown,56432.48963,55.99
74,Breakdown,56087.25176,65.7273913
75,Installation / Commissioning,56056.10406,80.33347826
76,Inspection / Maintenance,56040.12541,1263.426522
77,Installation / Commissioning,47946.89044,238.566087
78,Breakdown,47099.32684,764.3852174
79,Installation / Commissioning,46951.25389,73.03043478
80,Breakdown,46565.67427,85.20217391
81,Installation / Commissioning,42843.84648,253.1721739
82,Breakdown,41271.85157,1236.648696
83,Breakdown,39732.62629,572.0717391
84,Installation / Commissioning,36615.78064,99.80826087
85,Breakdown,36522.94679,394.3643478
86,Breakdown,36398.32897,82.76782609
87,Breakdown,36374.04586,533.1221739
88,Installation / Commissioning,36193.85139,114.4143478
89,Breakdown,35863.39267,126.586087
90,Breakdown,34530.04238,705.9608696
91,Breakdown,33771.08537,241.0004348
92,Breakdown,33241.29878,1058.941304
93,Inspection / Maintenance,33011.21526,138.7578261
